Time(d),Rate(m3/d),Cumulative_production(m3)
1,88.9,89
2,65.7,155
3,64.1,219
4,60.1,279
5,55.9,335
6,52.6,387
7,51.0,438
8,51.0,489
9,49.9,539
10,49.9,589
20,42.4,1019
30,38.9,1412
40,35.1,1779
50,32.6,2126
60,31.7,2457
70,32.2,2780
80,29.6,3084
90,29.3,3373
100,27.7,3654
110,26.7,3919
120,25.8,4173
130,24.0,4416
140,22.2,4650
150,21.8,4879
160,20.5,5092
170,19.8,5302
180,19.0,5504
190,19.9,5699
200,19.0,5885
210,17.6,6065
220,17.8,6239
230,16.1,6405
240,15.9,6567
250,15.9,6724
260,14.9,6876
270,14.2,7023
280,14.3,7166
290,13.3,7303
300,13.6,7438
310,12.7,7567
320,12.6,7692
330,11.6,7814
340,11.4,7930
350,11.0,8042
360,11.0,8153
370,10.2,8261
380,9.8,8366
390,10.4,8468
400,9.3,8567
410,9.1,8663
420,9.6,8758
430,9.3,8849
440,8.3,8938
450,8.7,9024
460,8.5,9106
470,7.8,9187
480,8.1,9266
490,7.8,9344
500,7.7,9418
510,7.1,9490
520,6.6,9561
530,6.8,9629
540,6.7,9697
550,6.7,9762
560,6.2,9825
570,6.3,9887
580,6.1,9947
590,5.7,10005
600,5.9,10063
610,5.5,10119
620,5.3,10173
630,5.5,10226
640,5.3,10278
650,4.8,10328
660,4.7,10376
670,4.9,10424
680,4.7,10471
690,4.4,10516
700,4.3,10560
710,4.3,10604
720,4.0,10646
730,3.9,10687
740,4.1,10728
750,3.7,10767
760,3.9,10806
770,3.9,10844
780,3.6,10882
790,3.7,10918
800,3.6,10954
